ticker,sector,market_cap,share_price,shares_outstanding,avg_daily_volume,bid_ask_spread_bps,size_category
OKH,Materials,45487900.0,10.95,4154990,5866,22.6,Micro
GZSW,Utilities,208905046.0,29.04,7193564,5000,12.4,Micro
XUD,Materials,60847856.0,2.27,26819029,8199,14.6,Micro
CVU,Technology,24421159.0,127.77,191139,5000,22.8,Micro
LFBU,Materials,1558702507.0,6.07,256856108,127794,3.2,Small
ZVLY,Industrials,9149361687.0,16.82,543879315,195164,2.1,Mid
JPO,Financials,23737779.0,5.75,4128202,5000,18.1,Micro
OSLW,Financials,810648114.0,20.4,39742436,30727,8.9,Small
YCES,Consumer Discretionary,91225350.0,15.2,6001908,9576,14.6,Micro
IGRD,Healthcare,122445221.0,7.24,16915571,5000,13.5,Micro
NRZI,Healthcare,101309519.0,28.75,3524401,9325,12.9,Micro
BTO,Technology,62134790.0,10.68,5815197,5000,17.8,Micro
LHOC,Industrials,321124331.0,18.87,17014324,25552,18.3,Small
DRHD,Consumer Discretionary,65942242.0,5.85,11274088,5000,15.0,Micro
FVJ,Communication Services,478813768.0,11.89,40286718,29419,6.1,Small
RZLB,Utilities,268825063.0,60.5,4443023,23936,11.0,Micro
DNP,Healthcare,191403345.0,26.32,7271848,14501,5.0,Micro
NWY,Financials,57447693.0,15.58,3686871,5000,17.7,Micro
UPMR,Materials,104198845.0,8.51,12248919,5397,12.2,Micro
XZYM,Materials,1146184236.0,12.86,89138810,86766,3.9,Small
OMA,Consumer Discretionary,724977326.0,14.27,50809715,12013,7.3,Small
IXA,Industrials,50647507.0,17.45,2902310,5000,18.5,Micro
XKS,Industrials,351879079.0,5.15,68348252,28275,4.9,Small
CCAE,Energy,1137952944.0,20.8,54721675,293291,4.3,Small
ZIGI,Consumer Staples,14578676.0,5.1,2861180,5000,12.6,Micro
BAPW,Healthcare,782534326.0,44.92,17420315,83491,6.7,Small
XEC,Industrials,89279034.0,6.57,13586400,5667,15.8,Micro
VCAC,Financials,821857519.0,15.45,53210959,145260,4.7,Small
NCA,Consumer Discretionary,74486877.0,27.22,2736032,5000,18.4,Micro
WNGI,Utilities,11423832.0,9.96,1147522,5000,22.5,Micro
ZJMS,Energy,15719674.0,16.0,982586,5000,21.8,Micro
GQT,Real Estate,320872018.0,38.4,8355308,54992,9.9,Small
DEWG,Technology,469651037.0,19.14,24544003,44208,6.1,Small
KDMG,Utilities,57784439.0,16.19,3568977,8221,17.0,Micro
VBJ,Real Estate,928857994.0,3.17,293472572,64610,4.8,Small
YUFL,Communication Services,14787073.0,5.77,2561853,5000,26.4,Micro
KZW,Materials,261267766.0,28.15,9281374,62421,8.5,Micro
GAAY,Technology,33270139.0,19.22,1731001,5000,17.5,Micro
YTMI,Healthcare,91029574.0,21.7,4195495,5000,15.8,Micro
FHI,Financials,320475891.0,20.25,15823394,16411,7.2,Small
ASJL,Technology,62536187.0,34.19,1829312,5000,16.8,Micro
VXI,Consumer Staples,147273214.0,9.88,14900718,5988,9.6,Micro
QZTL,Real Estate,1800494266.0,13.42,134211448,53426,2.8,Small
BCQ,Healthcare,104176240.0,5.35,19472895,5000,18.0,Micro
XQQ,Consumer Staples,1324427068.0,4.38,302219420,64314,5.7,Small
VWEA,Materials,38513819.0,3.27,11775365,5215,40.4,Micro
BULZ,Consumer Staples,763670919.0,6.0,127264520,107430,4.5,Small
WDWK,Energy,3941485490.0,42.18,93434766,369509,3.0,Mid
QFX,Energy,8886111.0,3.52,2526086,5000,35.2,Micro
BFVK,Communication Services,70110880.0,9.56,7336829,5644,21.6,Micro
PAIF,Consumer Discretionary,831489999.0,4.33,192046115,106168,5.1,Small
CTDS,Utilities,204181182.0,7.53,27106862,19122,7.4,Micro
STGT,Utilities,573955584.0,13.95,41132434,12246,9.9,Small
HGRH,Healthcare,99217668.0,6.96,14259292,6009,12.7,Micro
YYR,Materials,343900049.0,29.13,11806133,118383,11.0,Small
JCGP,Industrials,222353936.0,41.56,5349953,36706,12.7,Micro
YTQB,Communication Services,2407868398.0,2.02,1194847373,167477,3.9,Mid
LEEW,Energy,465190482.0,7.05,65946303,91110,7.1,Small
CSP,Healthcare,540326850.0,12.77,42303107,24393,6.3,Small
TXVX,Industrials,140205738.0,29.99,4674944,49124,12.1,Micro
TKQH,Utilities,122339289.0,8.47,14442765,12201,16.6,Micro
HTCP,Consumer Discretionary,135082365.0,11.99,11266492,19834,9.7,Micro
CYR,Consumer Staples,598545951.0,4.83,123952531,108450,7.0,Small
RBV,Energy,137926009.0,3.57,38588490,11080,8.7,Micro
IDAD,Healthcare,495756156.0,38.72,12804240,30269,5.4,Small
UPT,Technology,12335183184.0,2.83,-2147483648,383745,2.0,Large
HGC,Industrials,1411649148.0,78.48,17986450,87637,2.7,Small
APLS,Consumer Staples,163636431.0,21.76,7519697,12461,21.2,Micro
VNFF,Energy,2557216144.0,20.99,121838456,207807,2.7,Mid
VHB,Utilities,141168438.0,19.31,7312453,12854,12.0,Micro
AOA,Materials,8886111.0,9.95,892827,5000,52.0,Micro
PSD,Industrials,47939226.0,16.67,2875614,5000,14.4,Micro
QQL,Utilities,10145842.0,10.47,968682,5000,17.4,Micro
NUFC,Energy,156298114.0,18.96,8242523,46496,10.2,Micro
EXQN,Industrials,304186964.0,11.86,25651235,36011,6.9,Small
CATU,Communication Services,6015390842.0,5.7,1056117947,624422,1.4,Mid
ACR,Consumer Staples,530043307.0,6.07,87305792,13105,7.8,Small
VZCH,Energy,198364945.0,5.54,35784913,9705,11.2,Micro
ROV,Communication Services,1309524651.0,26.49,49436988,98172,7.0,Small
JBZ,Real Estate,8886111.0,7.43,1195359,5000,26.1,Micro
AIKV,Healthcare,449706724.0,2.64,170422078,10966,4.7,Small
JWZ,Consumer Staples,1178557829.0,16.73,70426939,299483,4.6,Small
YXMZ,Industrials,20553561.0,40.92,502288,5000,25.5,Micro
DMT,Materials,2305947006.0,22.61,101980352,92759,5.2,Mid
NPNL,Utilities,541196796.0,7.52,71983852,30163,10.8,Small
OBBW,Technology,139347553.0,3.42,40707834,12774,17.5,Micro
SYZV,Utilities,919193634.0,10.94,84007937,65070,6.2,Small
VQTJ,Industrials,17531185211.0,10.73,1634538349,463005,2.2,Large
VKEA,Utilities,408237332.0,5.61,72763058,37130,6.5,Small
LLEG,Healthcare,460027604.0,18.93,24299521,49577,7.9,Small
MTO,Energy,128720041.0,53.37,2411716,9884,8.8,Micro
HTPM,Communication Services,63737276.0,14.55,4379538,11573,17.0,Micro
JSQX,Technology,1311719186.0,13.85,94699900,307858,5.1,Small
ZWZ,Financials,63025446.0,5.76,10949797,5000,28.0,Micro
UWI,Industrials,334724789.0,37.26,8983386,59447,8.0,Small
AZZA,Consumer Discretionary,124549850.0,11.47,10857123,7095,13.1,Micro
VPYH,Financials,696907805.0,7.67,90905793,72078,6.9,Small
APGE,Utilities,536507870.0,12.82,41851620,24969,6.2,Small
WCLZ,Industrials,1904664853.0,17.77,107178136,88372,3.4,Small
EVY,Communication Services,117502537.0,13.62,8628645,5833,19.2,Micro
EOQ,Real Estate,181039377.0,31.97,5662082,8524,8.2,Micro
TEL,Communication Services,50537455.0,16.56,3051207,5000,12.3,Micro
ZPU,Consumer Discretionary,132258928.0,9.71,13625118,7626,15.2,Micro
AEWZ,Technology,580349396.0,16.79,34559295,23763,9.7,Small
EDBT,Communication Services,1149484606.0,18.17,63266709,29297,4.6,Small
