filing_id,filing_date,transaction_date,ticker,insider_name,insider_title,transaction_type,shares_transacted,price_per_share,transaction_value,shares_owned_after,ownership_type,filing_delay_days
7430,2018-01-02,2017-12-29,BULZ,Insider_BULZ_0,Director,P-Purchase,647,7.67,4961.63,87334,Direct,4
3286,2018-01-02,2017-12-31,JSQX,Insider_JSQX_5,CEO,S-Sale,11638,10.67,124145.9,10699,Direct,2
4029,2018-01-02,2017-12-28,STGT,Insider_STGT_1,VP,P-Purchase,2682,20.49,54947.09,29914,Indirect,5
5811,2018-01-02,2017-12-23,PUEC,Insider_PUEC_5,10% Owner,P-Purchase,193,3.12,602.43,284111,Indirect,10
879,2018-01-02,2017-12-31,ZREI,Insider_ZREI_9,Director,S-Sale,247,26.47,6537.16,141505,Direct,2
1560,2018-01-03,2018-01-01,UHZD,Insider_UHZD_4,Director,P-Purchase,599,23.72,14206.99,121153,Direct,2
3661,2018-01-03,2018-01-01,OMA,Insider_OMA_2,SVP,S-Sale,222,22.81,5063.89,31068,Direct,2
151,2018-01-04,2018-01-02,YUFL,Insider_YUFL_6,Controller,S-Sale,294,4.83,1418.93,8069,Indirect,2
4517,2018-01-04,2018-01-01,NRZI,Insider_NRZI_4,CEO,S-Sale,126,24.69,3111.21,5295,Direct,3
4186,2018-01-04,2018-01-02,TOOX,Insider_TOOX_1,10% Owner,P-Purchase,448,3.86,1727.11,6041,Indirect,2
2148,2018-01-04,2017-12-30,URM,Insider_URM_0,VP,P-Purchase,315,4.24,1337.07,387924,Direct,5
5465,2018-01-05,2018-01-02,LEEW,Insider_LEEW_2,COO,S-Sale,4102,8.64,35425.24,0,Direct,3
3836,2018-01-05,2018-01-04,HDXY,Insider_HDXY_3,Director,S-Sale,738,20.25,14944.0,8114,Direct,1
1832,2018-01-05,2018-01-01,ZMI,Insider_ZMI_3,Director,P-Purchase,1298,10.61,13773.08,18567,Direct,4
4350,2018-01-05,2018-01-01,UPMR,Insider_UPMR_8,COO,S-Sale,3984,8.4,33470.71,90305,Direct,4
314,2018-01-05,2017-12-26,UNI,Insider_UNI_1,Director,P-Purchase,2611,16.6,43332.07,54037,Indirect,10
57,2018-01-05,2018-01-04,JSQX,Insider_JSQX_1,10% Owner,S-Sale,5692,19.49,110920.32,24537,Direct,1
2089,2018-01-05,2018-01-04,FHI,Insider_FHI_2,Director,S-Sale,8110,15.63,126756.1,27822,Direct,1
5529,2018-01-05,2018-01-04,FSLV,Insider_FSLV_2,10% Owner,S-Sale,1254,37.58,47126.9,15798,Indirect,1
5832,2018-01-05,2017-12-31,SMM,Insider_SMM_0,CTO,P-Purchase,17837,4.42,78785.25,40372,Trust,5
7241,2018-01-08,2018-01-01,VXI,Insider_VXI_2,General Counsel,S-Sale,6392,8.67,55442.61,6216,Direct,7
3622,2018-01-08,2018-01-06,OQKU,Insider_OQKU_2,General Counsel,S-Sale,53921,31.9,1720232.05,0,Direct,2
1958,2018-01-08,2018-01-07,ASJL,Insider_ASJL_4,General Counsel,S-Sale,227379,39.42,8964046.45,0,Direct,1
778,2018-01-09,2018-01-07,TMP,Insider_TMP_1,10% Owner,S-Sale,7107,30.15,214260.96,14145,Indirect,2
5601,2018-01-09,2017-12-30,DMT,Insider_DMT_4,Controller,S-Sale,145,15.41,2234.26,103374,Direct,10
1533,2018-01-09,2018-01-08,CYR,Insider_CYR_3,SVP,S-Sale,1838,3.32,6111.07,7804,Direct,1
7232,2018-01-09,2018-01-05,TYDJ,Insider_TYDJ_1,Director,S-Sale,14445,18.0,260067.37,41190,Trust,4
2477,2018-01-09,2018-01-05,GZSW,Insider_GZSW_0,Director,S-Sale,5474,36.21,198189.28,0,Direct,4
6706,2018-01-09,2018-01-06,WCLZ,Insider_WCLZ_3,Director,P-Purchase,4153,22.85,94890.7,20832,Direct,3
5696,2018-01-09,2018-01-08,AVA,Insider_AVA_7,General Counsel,P-Purchase,895,17.11,15310.0,13689,Direct,1
2593,2018-01-09,2018-01-08,CTDS,Insider_CTDS_3,VP,S-Sale,4846,7.22,35000.93,11901,Direct,1
1574,2018-01-09,2018-01-06,FVJ,Insider_FVJ_0,SVP,S-Sale,10444,8.41,87861.21,48393,Indirect,3
383,2018-01-10,2018-01-09,QGX,Insider_QGX_3,CEO,S-Sale,2419,4.77,11542.76,7537,Direct,1
1297,2018-01-10,2018-01-09,ACR,Insider_ACR_6,VP,P-Purchase,1196,17.69,21154.39,44502,Indirect,1
5537,2018-01-11,2018-01-10,WNGI,Insider_WNGI_4,CFO,S-Sale,11604,11.79,136839.55,1002,Direct,1
4028,2018-01-11,2018-01-10,SQD,Insider_SQD_5,COO,P-Purchase,3402,22.85,77734.28,4348,Direct,1
97,2018-01-11,2018-01-08,BTO,Insider_BTO_2,Director,S-Sale,7974,8.04,64129.16,55580,Trust,3
7131,2018-01-11,2018-01-08,UEJJ,Insider_UEJJ_2,VP,P-Purchase,1726,4.58,7912.66,7002,Trust,3
2980,2018-01-11,2018-01-09,CPWY,Insider_CPWY_2,General Counsel,S-Sale,22032,9.09,200368.57,0,Indirect,2
1198,2018-01-12,2018-01-09,TXLR,Insider_TXLR_1,Director,S-Sale,1704,10.01,17063.36,35294,Direct,3
6607,2018-01-12,2018-01-11,OBBW,Insider_OBBW_1,Director,S-Sale,5556,3.84,21345.56,6984,Direct,1
636,2018-01-12,2018-01-11,LHOC,Insider_LHOC_1,Director,S-Sale,12131,15.86,192412.14,171371,Direct,1
5143,2018-01-12,2018-01-10,NRZI,Insider_NRZI_0,VP,P-Purchase,3390,29.6,100356.6,87639,Direct,2
3538,2018-01-12,2018-01-08,VKEA,Insider_VKEA_1,Director,S-Sale,97172,6.24,606734.58,0,Direct,4
921,2018-01-15,2018-01-13,QZTL,Insider_QZTL_4,VP,S-Sale,718,12.84,9216.8,25841,Direct,2
4259,2018-01-15,2018-01-13,IRZ,Insider_IRZ_5,COO,S-Sale,1625,6.52,10587.89,36226,Direct,2
1955,2018-01-15,2018-01-15,UPMR,Insider_UPMR_8,COO,S-Sale,1629,10.02,16323.81,185037,Indirect,0
2655,2018-01-16,2018-01-12,OYWE,Insider_OYWE_2,Director,P-Purchase,826,14.53,12001.28,77665,Direct,4
5368,2018-01-16,2018-01-14,OYV,Insider_OYV_1,General Counsel,S-Sale,2483,11.05,27435.64,178210,Indirect,2
790,2018-01-16,2018-01-14,APGE,Insider_APGE_1,Director,P-Purchase,2894,10.91,31581.64,14393,Direct,2
753,2018-01-17,2018-01-15,AIKV,Insider_AIKV_1,10% Owner,S-Sale,192905,2.54,490925.28,0,Indirect,2
3818,2018-01-17,2018-01-10,APLS,Insider_APLS_5,Controller,S-Sale,17445,26.63,464581.3,48391,Direct,7
1698,2018-01-18,2018-01-17,FGNM,Insider_FGNM_3,SVP,S-Sale,322,20.02,6445.52,541284,Direct,1
3070,2018-01-18,2018-01-13,VQTJ,Insider_VQTJ_0,10% Owner,S-Sale,957,6.58,6300.34,5864,Direct,5
5645,2018-01-18,2018-01-16,WCLZ,Insider_WCLZ_4,VP,S-Sale,237715,17.34,4123088.7,0,Trust,2
4430,2018-01-19,2018-01-15,OYV,Insider_OYV_1,General Counsel,P-Purchase,4970,15.03,74695.59,53654,Direct,4
7603,2018-01-19,2018-01-18,GNZE,Insider_GNZE_1,Director,S-Sale,1280,2.84,3638.01,4148,Indirect,1
610,2018-01-19,2018-01-18,ZNXS,Insider_ZNXS_0,CFO,S-Sale,1084,5.45,5908.19,14231,Trust,1
6840,2018-01-19,2018-01-09,TPYV,Insider_TPYV_3,Director,P-Purchase,100,14.89,1489.18,11957,Direct,10
3810,2018-01-19,2018-01-12,XZYM,Insider_XZYM_2,CEO,S-Sale,13766,18.21,250617.65,0,Indirect,7
7085,2018-01-22,2018-01-12,KPQ,Insider_KPQ_0,VP,S-Sale,1083,32.59,35297.12,54519,Direct,10
7338,2018-01-22,2018-01-19,ZJMS,Insider_ZJMS_3,SVP,S-Sale,4308,18.23,78536.59,4605,Direct,3
358,2018-01-22,2018-01-20,EVY,Insider_EVY_6,SVP,S-Sale,27090,13.05,353658.02,0,Trust,2
2428,2018-01-22,2018-01-21,BTO,Insider_BTO_1,General Counsel,S-Sale,6478,21.08,136586.32,0,Direct,1
4284,2018-01-22,2018-01-21,LEEW,Insider_LEEW_0,VP,S-Sale,1259,5.58,7020.09,83305,Direct,1
1827,2018-01-23,2018-01-21,OYW,Insider_OYW_0,Director,S-Sale,5375,7.61,40899.94,115933,Indirect,2
3250,2018-01-23,2018-01-21,EXQN,Insider_EXQN_0,General Counsel,S-Sale,1506,6.96,10476.6,2945,Indirect,2
3225,2018-01-23,2018-01-20,NBKS,Insider_NBKS_1,Controller,P-Purchase,16283,9.47,154171.13,19068,Direct,3
4249,2018-01-23,2018-01-20,UPT,Insider_UPT_1,General Counsel,P-Purchase,3028,1.77,5371.9,13351,Indirect,3
4963,2018-01-23,2018-01-21,EVY,Insider_EVY_5,Director,S-Sale,7480,19.9,148821.92,0,Direct,2
605,2018-01-23,2018-01-21,PSD,Insider_PSD_2,Director,P-Purchase,11307,20.52,232039.16,19560,Direct,2
382,2018-01-23,2018-01-21,GYM,Insider_GYM_2,General Counsel,P-Purchase,5575,49.86,277990.83,20356,Indirect,2
68,2018-01-24,2018-01-17,YCIQ,Insider_YCIQ_3,CFO,P-Purchase,2963,8.59,25463.57,11659,Direct,7
944,2018-01-24,2018-01-23,JZSG,Insider_JZSG_2,SVP,S-Sale,2355,15.64,36823.25,11031,Direct,1
4638,2018-01-24,2018-01-22,MMRZ,Insider_MMRZ_1,VP,S-Sale,2809,8.49,23840.86,12073,Direct,2
7819,2018-01-24,2018-01-22,JZL,Insider_JZL_0,SVP,S-Sale,4210,17.23,72541.67,5202,Direct,2
1847,2018-01-24,2018-01-23,LMLN,Insider_LMLN_7,CTO,P-Purchase,6001,8.18,49086.18,10661,Direct,1
859,2018-01-25,2018-01-22,AZZA,Insider_AZZA_4,CTO,S-Sale,463,14.28,6612.22,25737,Trust,3
89,2018-01-25,2018-01-22,AASK,Insider_AASK_7,CTO,S-Sale,1596,14.85,23706.23,515812,Direct,3
2859,2018-01-25,2018-01-24,IXA,Insider_IXA_0,CTO,S-Sale,1195,13.03,15570.86,212042,Trust,1
2910,2018-01-26,2018-01-24,DEWG,Insider_DEWG_3,Director,P-Purchase,862,38.04,32793.26,57645,Trust,2
576,2018-01-26,2018-01-24,OYWE,Insider_OYWE_6,CEO,S-Sale,122,12.21,1490.13,20102,Direct,2
6084,2018-01-26,2018-01-24,GQT,Insider_GQT_1,Director,S-Sale,118,35.35,4170.89,11425,Direct,2
4762,2018-01-26,2018-01-24,CATU,Insider_CATU_2,Controller,S-Sale,865,6.25,5405.55,91969,Indirect,2
7821,2018-01-29,2018-01-27,CVU,Insider_CVU_2,VP,P-Purchase,3846,109.02,419295.63,14242,Indirect,2
6833,2018-01-29,2018-01-27,LEYQ,Insider_LEYQ_3,Director,S-Sale,6725,30.78,206993.68,670,Indirect,2
693,2018-01-29,2018-01-22,KPQ,Insider_KPQ_1,Controller,P-Purchase,2290,30.64,70163.18,4349,Indirect,7
2081,2018-01-29,2018-01-19,UPMR,Insider_UPMR_7,SVP,S-Sale,8130,15.48,125816.74,3742,Indirect,10
2085,2018-01-29,2018-01-26,QFX,Insider_QFX_2,10% Owner,S-Sale,796,4.43,3524.71,6621,Direct,3
3536,2018-01-30,2018-01-28,VCAC,Insider_VCAC_1,Director,S-Sale,918,9.36,8595.44,66436,Indirect,2
